Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Значения атрибутов 23,Категории,Название атрибута 1,Значения атрибутов 1,Название атрибута 2,Значения атрибутов 2,Название атрибута 3,Значения атрибутов 3,Название атрибута 4,Значения атрибутов 4,Название атрибута 5,Значения атрибутов 5,Название атрибута 6,Значения атрибутов 6,Название атрибута 7,Значения атрибутов 7,Название атрибута 9,Значения атрибутов 9,Название атрибута 10,Значения атрибутов 10,Название атрибута 11,Значения атрибутов 11,Название атрибута 12,Значения атрибутов 12,Название атрибута 13,Значения атрибутов 13,Название атрибута 14,Значения атрибутов 14,Название атрибута 15,Значения атрибутов 15,Название атрибута 16,Значения атрибутов 16,Название атрибута 17,Значения атрибутов 17,Название атрибута 18,Значения атрибутов 18,Название атрибута 19,Значения атрибутов 19,Название атрибута 20,Значения атрибутов 20,Название атрибута 21,Значения атрибутов 21,Название атрибута 22,Значения атрибутов 22,Название атрибута 23,Название атрибута 24,Значения атрибутов 24,Название атрибута 25,Значения атрибутов 25,Название атрибута 26,Значения атрибутов 26
Dino Lift 180 XT,simple,15,1,visible,1,Электрический,"Mics, Прицепные подъемники, Коленчатые подъемники, Электрические подъемники",аккумуляторы,,бренд,DinoLift,вес,2315 кг,вид-подъёмника,Прицепной,внешний-радиус,,внутр-радиус,,вращение,360°,вылет-стрелы,10.9 м,высота,"2,3 м",высота-плат,16 м,высота-подъема,18 м,гидравл-бак,,грузоподъем,215 кг,двигатель,Electric motor 110/230 VAC,длина,"6,66 м",дор-просвет,23 см,колесная-база,,преод-подъем,25%,размер-платф,0.7 х 1.3 м,скорость,,страна,Финляндия,тип-двигателя,топливный-бак,,шины,Дорожные,ширина,"1,95 м"
Genie Z33/18,simple,20,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,,бренд,Genie,вес,3665 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.07 м,внутр-радиус,1.9 м,вращение,"400°, платформа на 180",вылет-стрелы,"5,57 м",высота,1.98 м,высота-плат,10 м,высота-подъема,12 м,гидравл-бак,20.8 л,грузоподъем,200 кг,двигатель,48 В пост. тока (восемь аккумуляторных батарей 6 В емкостью 315 А/ч),длина,"4,17 м",дор-просвет,"15,2 см",колесная-база,"1,9 м",преод-подъем,30%,размер-платф,"0,76 x 1,17 м",скорость,6 км/ч,страна,США,тип-двигателя,топливный-бак,нет,шины,"сплошные, не оставляющие следов 56x23x44 см",ширина,"1,5 м"
Genie Z-45/25 RT,simple,17,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Genie,вес,6415 кг,вид-подъёмника,Коленчатый,внешний-радиус,"4,5 м",внутр-радиус,"1,68 м",вращение,"180° платформа, непрерывный круг 355",вылет-стрелы,7.52 м,высота,2 м,высота-плат,"13,86 м",высота-подъема,"15,86 м",гидравл-бак,83 л,грузоподъем,227 кг,двигатель,"Deutz D2011L03i 3-цилиндровый дизельный 35,8 кВт (48 л.с.)",длина,"6,55 м",дор-просвет,"0,37 м",колесная-база,"2,03 м",преод-подъем,30%,размер-платф,"0,76 м Х 1,83 м",скорость,4.8 км/ч,страна,США,тип-двигателя,топливный-бак,"64,4 л",шины,135/55 D20,ширина,"1,83 м"
Genie Z-45/25J DC,simple,18,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,"8 аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока",бренд,Genie,вес,7394 кг,вид-подъёмника,Коленчатый,внешний-радиус,"4,3 м",внутр-радиус,"1,8 м",вращение,"160°, непрерывный круг 355",вылет-стрелы,7.65 м,высота,2 м,высота-плат,"13,94 м",высота-подъема,"15,94 м",гидравл-бак,,грузоподъем,227 кг,двигатель,"Модель DC - восемь аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока
Модель Bi-Energy - (восемь аккумуляторных батарей 6 В емкостью 350 А/ч), 48 В пост. тока и дизельный двигатель Kubota 9,9 кВт, Л/С.",длина,"6,83 м",дор-просвет,"0,24 м",колесная-база,"2,03 м",преод-подъем,30%,размер-платф,"0,76 м Х 1,83 м",скорость,4.8 км/ч,страна,США,тип-двигателя,топливный-бак,"64,4 л",шины,23 x 37 см пенозаполненные,ширина,"1,83 м"
Genie Z-51/30J RT,simple,19,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Genie,вес,7213 кг,вид-подъёмника,Коленчатый,внешний-радиус,"4,5 м",внутр-радиус,"1,7 м",вращение,160°,вылет-стрелы,9.37 м,высота,2 м,высота-плат,"15,59 м",высота-подъема,"17,59 м",гидравл-бак,"90,9 л",грузоподъем,227 кг,двигатель,"дизельный -  3-цилиндровый дизель Deutz D2011L03i

Мощностью 35,8 кВт, Л/С",длина,"7,58 м",дор-просвет,"0,39 м",колесная-база,"2,03 м",преод-подъем,45%,размер-платф,"0,76 м Х 1,83 м",скорость,4.8 км/ч,страна,США,тип-двигателя,топливный-бак,"64,4 л",шины,135/55 D625 пенозаполненные,ширина,"2,29 м"
Haulotte HA 12IP,simple,31,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,48В 360 Ah,бренд,Haulotte,вес,5900 кг,вид-подъёмника,Коленчатый,внешний-радиус,"2,4 м",внутр-радиус,2 м,вращение,"180°, непрерывный круг 359",вылет-стрелы,6.50 м,высота,2.06 м,высота-плат,10 м,высота-подъема,12 м,гидравл-бак,30 л,грузоподъем,230 кг,двигатель,48 V - 345 Ah (C5),длина,"5,5 м",дор-просвет,16 см,колесная-база,"1,8 м",преод-подъем,45%,размер-платф,"1,2 x 0,8 м",скорость,0.7 - 4.5 км/ч,страна,Франция,тип-двигателя,топливный-бак,,шины,10-16.5 с пенным наполнением,ширина,"1,35 м"
Haulotte H15SX,simple,29,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,12 В - 95 А.ч. ,бренд,Haulotte,вес,5900 кг,вид-подъёмника,Ножничный,внешний-радиус,4.96 м,внутр-радиус,2 м,вращение,170°,вылет-стрелы,нет,высота,1.91 м,высота-плат,13 м,высота-подъема,15 м,гидравл-бак,100 л,грузоподъем,700 кг,двигатель,"Hatz, 31.4 hp - 23.1 kW",длина,"4,18 м",дор-просвет,35 см,колесная-база,2.75 м,преод-подъем,45%,размер-платф,6 x 1.89 м,скорость,1.6 - 6 км/ч,страна,Франция,тип-двигателя,топливный-бак,65 л,шины,10-16.5 с пенным наполнением,ширина,"2,25 м"
Haulotte H18SX,simple,30,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,7300 кг,вид-подъёмника,Ножничный,внешний-радиус,4.96 м,внутр-радиус,2 м,вращение,170°,вылет-стрелы,нет,высота,2.99 м,высота-плат,15 м,высота-подъема,17 м,гидравл-бак,100 л,грузоподъем,500 кг,двигатель,Hatz 31.4 hp - 23.1 kW,длина,"4,18 м",дор-просвет,35 см,колесная-база,2.75 м,преод-подъем,45%,размер-платф,6 x 1.89 м,скорость,1.6 - 6 км/ч,страна,Франция,тип-двигателя,топливный-бак,65 л,шины,10-16.5 с пенным наполнением,ширина,"2,25 м"
Haulotte H12SX,simple,28,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,5440 кг,вид-подъёмника,Ножничный,внешний-радиус,4.96 м,внутр-радиус,2 м,вращение,170°,вылет-стрелы,нет,высота,1.71 м,высота-плат,10 м,высота-подъема,12 м,гидравл-бак,100 л,грузоподъем,700 кг,двигатель,Hatz 31.4 hp - 23.1 kW,длина,"4,18 м",дор-просвет,35 см,колесная-база,2.75 м,преод-подъем,45%,размер-платф,6 x 1.89 м,скорость,"1,6-6,0 км/ч",страна,Франция,тип-двигателя,топливный-бак,65 л,шины,10-16.5 с пенным наполнением,ширина,"2,25 м"
Haulotte HA 15IP,simple,32,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,48 V - 345 Ah (C5),бренд,Haulotte,вес,7300 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.95 м,внутр-радиус,2 м,вращение,90°,вылет-стрелы,8.65 м,высота,"1,99 м",высота-плат,"12,87 м",высота-подъема,"14,87 м",гидравл-бак,30 л,грузоподъем,230 кг,двигатель,48 V - 345 Ah (C5),длина,"6,65 м",дор-просвет,14 см,колесная-база,2 м,преод-подъем,45%,размер-платф,1.8 х 0.8 м,скорость,"1,5 - 5,5 км/ч",страна,Франция,тип-двигателя,топливный-бак,75 л,шины,Внедорожные (с пенным наполнением),ширина,"1,52 м"
Haulotte HA 18 SPX,simple,33,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,7950 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.5 м,внутр-радиус,2 м,вращение,180°,вылет-стрелы,10.6 м,высота,2.2 м,высота-плат,"15,3 м",высота-подъема,"17,3 м",гидравл-бак,100 л,грузоподъем,230 кг,двигатель,Deutz Diesel 31.2 kW / 42.4hp,длина,"7,5 м",дор-просвет,38 см,колесная-база,2 м,преод-подъем,45%,размер-платф,1.8 х 0.8 м,скорость,"1,5 - 5,5 км/ч",страна,Франция,тип-двигателя,топливный-бак,75 л,шины,Внедорожные (с пенным наполнением),ширина,"2,3 м"
Haulotte HA16 RTJ,simple,36,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,6095 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.5 м,внутр-радиус,,вращение,165°,вылет-стрелы,8.3 м,высота,2.3 м,высота-плат,14 м,высота-подъема,16 м,гидравл-бак,76 л,грузоподъем,230 кг,двигатель,"Kubota, 26.5kW (36hp), Stage 3A",длина,"5,05 м",дор-просвет,38 см,колесная-база,2.1 м,преод-подъем,40%,размер-платф,1.83 × 0.80 м,скорость,5.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,62 л,шины,14×17.5 (с пенным наполнением),ширина,"2,3 м"
Haulotte HA16 RTJ PRO,simple,37,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,6540 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.75 м,внутр-радиус,,вращение,165°,вылет-стрелы,8.3 м,высота,2.3 м,высота-плат,14 м,высота-подъема,16 м,гидравл-бак,62 л,грузоподъем,230 кг,двигатель,"Kubota, 26.5kW (36hp), Stage 3A",длина,"6,75 м",дор-просвет,34 см,колесная-база,2.1 м,преод-подъем,,размер-платф,,скорость,0.8 - 5.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,62 л,шины,14×17.5 (foam-filled),ширина,"2,3 м"
Haulotte HT23 RTJ O,simple,39,1,visible,1,Дизельный,"Mics, Телескопические подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,13320 кг,вид-подъёмника,Телескопический,внешний-радиус,6.3 м,внутр-радиус,,вращение,180°,вылет-стрелы,18.3 м,высота,2.7 м,высота-плат,"20,5 м",высота-подъема,"22,5 м",гидравл-бак,,грузоподъем,230 кг,двигатель,Kubota 36.5 / 49.6,длина,"7,8 м",дор-просвет,34 см,колесная-база,2.5 м,преод-подъем,40%,размер-платф,2.44 х 0.91 м,скорость,0.5 - 6.5 км/ч,страна,Франция,тип-двигателя,топливный-бак,166 л,шины,Пенонаполненные 3385/65-22.5 ,ширина,"2,47 м"
Haulotte HA26 RTJ О,simple,38,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,15500 кг,вид-подъёмника,Коленчатый,внешний-радиус,6.55 м,внутр-радиус,,вращение,180 люлька/ 360 непрерывно,вылет-стрелы,17.5 м,высота,2.97 м,высота-плат,"24,4 м",высота-подъема,"26,4 м",гидравл-бак,140 л,грузоподъем,250 кг,двигатель,"Kubota 49,6 hp - 36.5kW",длина,"11,8 м",дор-просвет,48 см,колесная-база,2.8 м,преод-подъем,45%,размер-платф,2.44 х 0.91 м,скорость,5 км/ч,страна,Франция,тип-двигателя,топливный-бак,80 л,шины,385/65-22.5 (solid rough terrain),ширина,"2,48 м"
Haulotte НА 26 RTJ PRO,simple,21,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,15500 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.35 м,внутр-радиус,,вращение,180 люлька/ 360 непрерывно,вылет-стрелы,17.5 м,высота,2.97 м,высота-плат,"24,4 м",высота-подъема,"26,4 м",гидравл-бак,140 л,грузоподъем,250 кг,двигатель,"Kubota 49,6 hp - 36.5kW",длина,"11,8 м",дор-просвет,48 см,колесная-база,2.8 м,преод-подъем,45%,размер-платф,2.44 х 0.91 м,скорость,5 км/ч,страна,Франция,тип-двигателя,топливный-бак,80 л,шины,1025 х 365 мм (solid rough terrain),ширина,"2,48 м"
Haulotte Compact 8,simple,27,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 225 Амп/ч,бренд,Haulotte,вес,1655 кг,вид-подъёмника,Ножничный,внешний-радиус,2.38 м,внутр-радиус,0.34 м,вращение,,вылет-стрелы,нет,высота,2 м (со слож ограждениями 1.13 м),высота-плат,"6,2 м",высота-подъема,"8,2 м",гидравл-бак,27 л,грузоподъем,350 кг,двигатель,24 V - 232 Ah,длина,"2,49 м",дор-просвет,13 см,колесная-база,1.86 м,преод-подъем,23%,размер-платф,2.31 х 0.81 м,скорость,1 - 3.3 км/ч,страна,Франция,тип-двигателя,топливный-бак,,шины,Non marking 15 х 5,ширина,"0,81 м"
Haulotte Compact 10,simple,22,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 330 Амп/ч,бренд,Haulotte,вес,2330 кг,вид-подъёмника,Ножничный,внешний-радиус,1.83 м,внутр-радиус,,вращение,,вылет-стрелы,нет,высота,2.35 м (со слож ограждениями 1.65 м),высота-плат,"8,15 м",высота-подъема,"10,15 м",гидравл-бак,25 л,грузоподъем,450 кг,двигатель,24 V - 340 Ah,длина,"2,49 м",дор-просвет,12.5 см,колесная-база,1.86 м,преод-подъем,25%,размер-платф,2.40 х 1.17 м,скорость,0.7-4.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,,шины,Non marking 15 х 5,ширина,"1,2 м"
Haulotte Compact 10N,simple,23,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 225 Амп/ч,бренд,Haulotte,вес,2160 кг,вид-подъёмника,Ножничный,внешний-радиус,2.05 м,внутр-радиус,,вращение,,вылет-стрелы,нет,высота,2.35 м (со слож ограждениями 1.94 м),высота-плат,"7,8 м",высота-подъема,"9,8 м",гидравл-бак,10/27 л,грузоподъем,250 кг,двигатель,24 В - 4x6 В - 209 А.ч.,длина,"2,5 м",дор-просвет,12.5 см,колесная-база,1.86 м,преод-подъем,25%,размер-платф,2.40 х 0.8 м,скорость,0.7-4.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,,шины,Non marking 15 х 5,ширина,"0,81 м"
Haulotte Compact 12,simple,24,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 340 Амп/ч,бренд,Haulotte,вес,2470 кг,вид-подъёмника,Ножничный,внешний-радиус,1.83 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,2.47 м,высота-плат,"9,98 м",высота-подъема,"11,98 м",гидравл-бак,14 л,грузоподъем,300 кг,двигатель,24 V - 340 Ah (C20),длина,"2,49 м",дор-просвет,12.5 см,колесная-база,1.86 м,преод-подъем,25%,размер-платф,2.40 х 1.17 м (в удлиненном виде 3.32 х 1.17 м),скорость,0.7-4.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,нет,шины,Non marking 15 х 5,ширина,"1,2 м"
Haulotte Compact 12 DX NEW,simple,25,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,4110 кг,вид-подъёмника,Ножничный,внешний-радиус,4.63 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,2.56 м (со слож ограждениями 1.71 м),высота-плат,"9,98 м",высота-подъема,"11,98 м",гидравл-бак,75 л,грузоподъем,450 кг,двигатель,"KUBOTA D1105-W1, 18.5 кВт - 24.8 л.с., Stage 3A",длина,"3,17 м",дор-просвет,28 см,колесная-база,1.84 м,преод-подъем,40%,размер-платф,2.45 х 1.45 м (в удлиненном виде 3.7 х 1.45 м),скорость,0.6-5.5 км/ч,страна,Франция,тип-двигателя,топливный-бак,30 л,шины,Пенонаполненные 663 х 283 мм,ширина,"1,78 м"
Haulotte Compact 14,simple,26,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 340 Амп/ч,бренд,Haulotte,вес,3175 кг,вид-подъёмника,Ножничный,внешний-радиус,1.83 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,2.72 м (со слож ограждениями 2.02 м),высота-плат,"11,85 м",высота-подъема,"13,85 м",гидравл-бак,25 л,грузоподъем,350 кг,двигатель,24 V - 340 Ah (C20),длина,"2,49 м",дор-просвет,10.8 см,колесная-база,1.86 м,преод-подъем,25%,размер-платф,2.40 х 1.20 м (в удлиненном виде 3.32 х 1.20 м),скорость,0.7-4.2 км/ч,страна,Франция,тип-двигателя,топливный-бак,нет,шины,Non marking 15 х 5,ширина,"1,2 м"
Haulotte Optimum 8,simple,40,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24В 225 Амп/ч,бренд,Haulotte,вес,1590 кг,вид-подъёмника,Ножничный,внешний-радиус,1.5 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,1.99 м,высота-плат,"5,77 м",высота-подъема,"7,77 м",гидравл-бак,6 л,грузоподъем,230 кг,двигатель,24 V - 232 Ah,длина,"1,9 м",дор-просвет,8.7 см,колесная-база,1.38 м,преод-подъем,25%,размер-платф,1.73 х 0.86 м (в удлиненном виде 2.59 х 0.86 м),скорость,0.5-5 км/ч,страна,Франция,тип-двигателя,топливный-бак,нет,шины,Non marking 12.5 х 4.13,ширина,"0,79 м"
JLG 510 AJ,simple,42,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,JLG,вес,7650 кг,вид-подъёмника,Коленчатый,внешний-радиус,5 м,внутр-радиус,2 м,вращение,"360°, непрерывное-нет",вылет-стрелы,9.48 м,высота,2.3 м,высота-плат,"15,81 м",высота-подъема,"17,81 м",гидравл-бак,113.6 л,грузоподъем,230 кг,двигатель,Deutz F3M2011 / Deutz D2011L03 / Perkins 404C-22,длина,"7,68 м",дор-просвет,0.36 м,колесная-база,2.34 м,преод-подъем,45%,размер-платф,1.83 х 0.76 м ,скорость,7.2 км/ч,страна,США,тип-двигателя,топливный-бак,62.5 л,шины,"Пенонаполненные (lug), без следов 12 х 16.5",ширина,"2,26 м"
JLG E450AJ,simple,44,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,8 x 6В 370 А/ч ,бренд,JLG,вес,6670 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.15 м,внутр-радиус,0.61 м,вращение,"360°, непрерывное-нет",вылет-стрелы,7.24 м,высота,2.01 м,высота-плат,"13,72 м",высота-подъема,"15,72 м",гидравл-бак,15 л,грузоподъем,227 кг,двигатель,Электрическая система 48 вольт,длина,"6,45 м",дор-просвет,20 см,колесная-база,2.01 м,преод-подъем,30%,размер-платф,1.52 х 0.76 м ,скорость,7.2 км/ч,страна,США,тип-двигателя,топливный-бак,нет,шины,"240/55-17.5, пенонаполненные/ не оставляющие следов",ширина,1.75 м
LGMG AR14J,simple,46,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,7160 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.41 м,внутр-радиус,1.94 м,вращение,355°,вылет-стрелы,7.4 м,высота,2.17 м,высота-плат,"14,09 м",высота-подъема,"16,09 м",гидравл-бак,130 л,грузоподъем,230 кг,двигатель,"Kubota V2403 36 кВт/48,2 л.с.",длина,"6,77 м",дор-просвет,36 см,колесная-база,2.06 м,преод-подъем,45%,размер-платф,1.83 х 0.76 м ,скорость,0.8-6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,65 л,шины,"355/55D-625, пенонаполненные",ширина,"2,31 м"
LGMG ES1612,simple,49,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,"4 х 6 В, 300 А/ч",бренд,LGMG,вес,880 кг,вид-подъёмника,Ножничный,внешний-радиус,,внутр-радиус,,вращение,,вылет-стрелы,,высота,,высота-плат,"13,7 м",высота-подъема,"15,7 м",гидравл-бак,,грузоподъем,250 кг,двигатель,,длина,"2,87 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,0.81 м
LGMG SS0407E,simple,52,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24V DC 115Ah,бренд,LGMG,вес,885 кг,вид-подъёмника,Ножничный,внешний-радиус,1.5 м,внутр-радиус,0,вращение,нет,вылет-стрелы,,высота,2.06 м (со слож перилами 1.82 м),высота-плат,"3,6 м",высота-подъема,"5,6 м",гидравл-бак,4.5 л,грузоподъем,240 кг,двигатель,24V DC 115Ah,длина,"1,53 м",дор-просвет,5 см,колесная-база,1.12 м,преод-подъем,25%,размер-платф,"1.30 х 0.70 м, удлинитель 0.60 м",скорость,,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"230 х 80 мм, цельнолитые/не оставляют следов",ширина,"0,76 м"
LGMG A14JE,simple,45,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,48В 390Ач,бренд,LGMG,вес,7500 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.1 м,внутр-радиус,1.83 м,вращение,355°,вылет-стрелы,7.81 м,высота,1.98 м (транспортная высота 2.54 м),высота-плат,"13,8 м",высота-подъема,"15,8 м",гидравл-бак,30 л,грузоподъем,230 кг,двигатель,48В 390Ач,длина,"6,66 м",дор-просвет,24 см,колесная-база,2.03 м,преод-подъем,30%,размер-платф,1.83 х 0.76 м ,скорость,1.0-4.8 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"9-14.5, пенонаполненные/не оставляющие следов",ширина,"1,8 м"
LGMG AR16J,simple,47,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,8180 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.41 м,внутр-радиус,1.94 м,вращение,355°,вылет-стрелы,9.39 м,высота,2.17 м,высота-плат,"15,7м",высота-подъема,"17,7м",гидравл-бак,130 л,грузоподъем,230 кг,двигатель,"Kubota V2403 36 кВт/48,2 л.с.",длина,"7,56 м",дор-просвет,0.36 м,колесная-база,2.06 м,преод-подъем,45%,размер-платф,1.83 х 0.76 м ,скорость,6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,65 л,шины,"RT foam-filled, 315/55D20",ширина,"2,31 м"
LGMG AR20J,simple,48,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,9850 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.9 м,внутр-радиус,1.9 м,вращение,360°,вылет-стрелы,12.37 м,высота,2.46 м,высота-плат,"19,58 м",высота-подъема,"21,58 м",гидравл-бак,100 л,грузоподъем,260 кг,двигатель,"Kubota V2403 26 кВт/48,2 л.с.",длина,"9,42 м",дор-просвет,0.40 м,колесная-база,"2,51 м",преод-подъем,45%,размер-платф,2.44 х 0.90 м,скорость,5 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"RT foam-filled, 355/55D625",ширина,"2,5 м"
LGMG SR1023D,simple,50,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,6880 кг,вид-подъёмника,Ножничный,внешний-радиус,5.33 м,внутр-радиус,нет,вращение,нет,вылет-стрелы,нет,высота,2.74 м (перила сложены 2.06 м),высота-плат,10 м,высота-подъема,12 м,гидравл-бак,140 л,грузоподъем,1100 кг,двигатель,"Deutz D2,9 L4 36,4кВт/48,8л,с,",длина,"4,9 м",дор-просвет,0.23 м,колесная-база,2.85 м,преод-подъем,40%,размер-платф,3.98/4.81 х 1.83 м,скорость,нет,страна,Китай,тип-двигателя,топливный-бак,110 л,шины,"Solid, 835 х 290 мм",ширина,"2,3 м"
LGMG SR1623D,simple,51,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,8100 кг,вид-подъёмника,Ножничный,внешний-радиус,5.33 м,внутр-радиус,нет,вращение,нет,вылет-стрелы,нет,высота,3.18 м (перила сложены 2.50 м),высота-плат,"15,9 м",высота-подъема,"17,9 м",гидравл-бак,140 л,грузоподъем,680 кг,двигатель,"Deutz D2,9 L4 36,4кВт",длина,"4,9 м",дор-просвет,0.23 м,колесная-база,2.85 м,преод-подъем,40%,размер-платф,3.98/4.81 х 1.83 м,скорость,нет,страна,Китай,тип-двигателя,топливный-бак,110 л,шины,"Solid, 835 х 290 мм",ширина,"2,3 м"
